label,id
Forró Gatinha Manhosa,683
Forró Lenhada,684
Forró Limão Com Mel,685
Forró Maior,686
Forró Mania,687
Forró Mulher Chorona,688
Forró Paratodos,689
Forró Pegado,690
Forró Perfeito,691
Forró Raiz,692
Forró Rasta Chinela,693
Forró Real,694
Forró Remexe,695
Forró Saborear,696
Forró Sacode,697
Forró Total,698
Forró Zabumbada,699
Forró da Brucelose & Gilson Neto,700
Forró de Aço,701
Forró de Lua,702
Forró de Qualidade,703
Forró do HF,704
Forró do Muido,705
Forró dos Plays,706
Força Suprema,707
Francesco Cremisini,708
Francis Hime,709
Francis Lopes,710
Francisco Alves,711
Francisco Carlos,712
Francisco Egydio,713
Francisco Vidal,714
Frank Aguiar,715
Frankito Lopes,716
Fred Dantas & Ailton Reiner,717
Frejat,718
Fulô de Mandacaru,719
Fundodamente,720
Furacão do Forró,721
Fuse,722
Fábio Carneirinho,723
Fábio Diniz,724
Fábio Jr.,725
Fínix MG,726
G-Amado,727
G2,728
GODDAMNIT,729
GROGNation,730
GUS,731
Gabi Fernandes,732
Gabriel Diniz,733
Gabriel Grossi,734
Gabriel O Pensador,735
Gabriell,736
Gabrielzinho Do Irajá,737
Gaia Groove,738
Gal Costa,739
Galego Aboiador,740
Galina Petrova,741
Galo Preto,742
Galo da Madrugada,743
Gama,744
Gandhi,745
Ganeshas,746
Gangrena Gasosa,747
Garoto,748
Gatinha Manhosa,749
Gaviões do Forró,750
Geb One,751
Genaro & Walkyria,752
Genaro Codina,753
Gender Bender,754
Geninho Batalha,755
Genival Lacerda,756
Genival Santos,757
Genovitor,758
Geraldinho Lins,759
Geraldo Azevedo,760
Geraldo Pereira,761
Geraldo Vandre,762
Ghoya,763
Giannini Alencar,764
Gil Mendes,765
Gil Semedo,766
Gilberto Gil,767
Gilliard,768
Gilyto,769
Gino Liver,770
Gitana Pimentel,771
Glen Rice,772
Gleydson Gavião,773
God's Own Drunk,774
Goldencarr,775
Gonvatto,776
Gonzaguinha,777
Gonzalo Gravina,778
Googie,779
Gordurinha,780
Gosto Delicado,781
Governo Sombra,782
Gpro,783
Grace Evora,784
Grant Garland,785
Greg Merkle,786
Groove Addiction,787
Grupo Arrocha,788
Grupo Centaurus,789
Grupo Clareou,790
Grupo Cupuacu,791
Grupo Do Pixinguinha,792
Grupo Fundo De Quintal,793
Grupo Revelação,794
Grupo Vou Vivendo,795
Guardiões Do Subsolo,796
Guentaê!,797
Guilherme Arantes,798
Guinga,799
Guitarreros,800
Gustavo Pena,801
Guto Wirtti e seu Conjunto,802
Gutto,803
H.A.P.,804
HORNIT,805
Hailey Tuck,806
Haka,807
Halloween,808
Hallux,809
Hallux Makenzo,810
Hamilton De Holanda,811
Hammurabi,812
Hans Jukkup Tunissutaa,813
Hardcorepornmusic,814
Hashell,815
Haylton Dias,816
Heal Minds,817
Heatwaves,818
Heilig,819
Helen Webb,820
Helio Batalha,821
Hendrik Röver,822
Henrique Araújo,823
Henrique Cazes,824
Henrique Cazes & Família Violão,825
"Henrique Cazes, Marcello Gonçalves",826
Henry Freitas,827
Heraldo Do Monte,828
Herivelto Martins,829
Herman Klang,830
Hermeto Pascoal,831
Hernani,832
"Hernán Gamboa ""El Cuatro de Venezuela""",833
HipnoD,834
Hold Tight!,835
Holly Hood,836
Hologram Earth,837
Homeboy Sandman,838
Hot Blaze,839
Howe Gelb,840
Hugo Fattoruso & Rey Tambor,841
Hugo Fattoruso Y El Rey Tambor,842
Hundred Dollar Cigar,843
Hyldon,844
Ibrahim Ferrer,845
Ida Sand,846
Ikonoclasta,847
Iman Iran,848
Imma Sumack,849
Imperial Crown,850
Inconnu,851
Indra Rios-Moore,852
Infamous & VRZ,853
Infected Mind,854
Iniciado,855
Inimigos Da HP,856
Inmortales,857
Inneruulat,858
Inspector Mórbido,859
Intense Sanity,860
Ira!,861
Irah Caldeira,862
Irit Dekel,863
Isabella Taviani,864
Isaura Garcia,865
Isidora,866
Itamar Assumpção,867
Ivan Alejandro,868
Ivan Lins,869
Ivete Sangalo,870
Ivonne Guzmán,871
Iván Pérez Rossi,872
J & B,873
J.C. Bazan,874
JJ Grey & Mofro,875
JM Puxado,876
JOHNNY B. ZERO,877
Jacinto Silva,878
Jackpot BCV,879
Jackson Do Pandeiro,880
Jacky Terrasson,881
Jacob Do Bandolim,882
Jacob do Bandolim e Regional do Canhoto,883
Jacques Bourgade,884
Jah Live,885
Jair Alves,886
Jair Rodrigues,887
Jamelão,888
Jammil,889
Jan Koetsier,890
Janina And The Deeds,891
Jards Macalé,892
Jared,893
Jason And The Beast,894
Jay Wagner,895
Jeanne Lima,896
Jeebee,897
Jeff Golub,898
Jeff Labar,899
Jeito Moleque,900
Jennifer Dias,901
Jens Kleist,902
Jenseeraq,903
Jeoba,904
Jerry Adriani,905
Jerry Honigman,906
Jim Allchin,907
Joan Rochette,908
Joao Dias,909
Joao Do Vale,910
Joaozinho Do Exu,911
Joci Batista,912
Jodie Levinson,913
Joe Gande,914
Joe Graydon,915
Joe Wood,916
Joel Nascimento,917
John Diaz,918
John Pippus,919
John Thomason,920
Johnny Alf,921
Johnny Def,922
Johnny Ganza,923
Johnny Ramos,924
Jonas Esticado,925
Jonathan Robinson,926
Jonathan Silva,927
Jonnhy Ganza,928
Jonny Breakwell,929
Jorge Amorim,930
Jorge Aragão,931
Jorge Ben Jor,932
Jorge Costa Show,933
Jorge De Altinho,934
Jorge Mautner,935
Jorge Neto,936
Jorge Veiga,937
Jorge Vercillo,938
Jorge do Rojão,939
Jose Ignacio Lapido,940
Josildo Sá,941
José Augusto,942
José Menezes,943
José Orlando,944
José Ribeiro,945
José Rodrigues,946
Jota Quest,947
Joyce,948
João Bandeira,949
João Bosco,950
João Donato,951
João Donato E Seu Trio,952
João Felippe,953
João Gonçalves,954
João Nabuco,955
João Rabello,956
João Tamura,957
Jr,958
Jules' Mescaline,959
Julian Maeso,960
Julie,961
Julio Nascimento,962
Junio Barreto,963
Junior (Portuguese Group),964
Junior MacKenzie,965
Junior Vianna,966
Jussara Silveira,967
Justino Delgado,968
Justino Ubakka,969
Juçara Marçal e Kiko Dinucci,970
K-Ximbinho,971
KBA,972
Ka Tha Brabo,973
Kacetado,974
Kaik Gois,975
Kalibrados,976
Kanda Bongo Man,977
Kappa Jotta,978
Kara Veia,979
Karina Buhr,980
Karlon,981
Kart Love,982
Katia De Troia,983
Katinga Mc,984
Ken Thomson,985
Kenny Segal,986
Keso,987
Kevin Johansen,988
Key Biscayne,989
Kid Mc,990
Kiili,991
Kiko Dinucci,992
Kiko Horta,993
Kimberly,994
Kimmernaq,995
King Kong Magnetics,996
Kirsty McGee,997
Kizomba,998
Kleiton & Kledir,999
Komia,1000
Konde,1001
Kontroversia,1002
Korzus,1003
KosmicFlux,1004
Kosmikilla,1005
Krisiun,1006
Kristóman,1007
Kurt Buschmann,1008
L'Attirail,1009
L-Ali,1010
La Escafandra,1011
La Rue Kétanou,1012
La Yegros,1013
La Yunta,1014
Lado Obscuro,1015
Lagosta Bronzeada,1016
Lairton,1017
Lairton e Seus Teclados,1018
Lana Bittencourt,1019
Landim,1020
Laninha Show,1021
Lauana Prado,1022
Laura Theodore,1023
Laylizzy,1024
Lea Ben Sassón,1025
Leandro Lovato,1026
Leftover Salmon,1027
Leila Pinheiro,1028
Leila Silva,1029
Lelepistrin,1030
Lenine,1031
Leny Andrade,1032
Leo & Leandro,1033
Leo Estakazero,1034
Leo Jaime,1035
Leoes De Israel,1036
Leoni,1037
Les Wanyika,1038
Lhast,1039
Lia de Itamaracá,1040
Life Signs,1041
Liima Inui,1042
Lil Coner,1043
Lil Raider,1044
Limão Com Mel,1045
Lince,1046
Linda & Co.,1047
Lindomar Castilho,1048
Liricaos,1049
Lisa Bassenge,1050
Lisa Simone,1051
Lizha James,1052
Loony Johnson,1053
Loopstep,1054
Loreta Kba,1055
Los 3 Del Río,1056
Los 4 de Salta,1057
Los Bastos Gatos Do Beko,1058
Los Changos,1059
Los Del Yerbal,1060
Los DelTonos,1061
Los Estanques,1062
Los Guaranis,1063
Los Guaraníes,1064
Los Inseparables,1065
Los Rojas,1066
Los Sacheros,1067
Los Sauzales,1068
Louro Santos,1069
Lt Headtrip,1070
Luan Estilizado,1071
Luanzinho Moraes,1072
Lucas Santtana,1073
Luciana Mello,1074
Luciana Rabello,1075
Lucy Alves,1076
Luiz Fidélis,1077
Luiz Gonzaga,1078
Luiz Melodia,1079
Luiz Tatit,1080
Luiza Possi,1081
Luizinho De Iraucuba,1082
Lulu Santos,1083
Lupicínio Rodrigues,1084
Luso,1085
Luz Buena,1086
Lô Borges,1087
M & The Congregation,1088
M.A.C,1089
MARCOS BEST,1090
MC Ary,1091
MC Cego Abusado,1092
MC Y2k,1093
METTA,1094
Maasi,1095
Maciel Melo,1096
Maciel Salú,1097
Macucos,1098
"Mad Malcolm Productions, Inc.",1099
Madkutz,1100
Maestro Duda e Sua Orquestra,1101
Magníficos,1102
Mala Mansa,1103
Malia,1104
Malla 100 Alça,1105
Malone Monteiro,1106
Mama's Cookin',1107
Manhoso,1108
Mano Negra,1109
Mano Walter,1110
Manu Chao,1111
Manuel Moreira,1112
Mané Do Baião,1113
Mara Pavanelly,1114
Maradox,1115
Maradox 1º,1116
Marc Vallee Trio,1117
Marcelo Bernardes,1118
Marcelo Caldi,1119
Marcelo Camelo,1120
Marcelo D2,1121
Marcelo Marrone,1122
Marcelo Vianna,1123
Marco Granados,1124
Marco Pereira,1125
Marcus Viana,1126
Maria Bethânia,1127
Maria Clara,1128
Maria Creuza,1129
Maria Gadú,1130
Maria Rita,1131
Maria Teresa Madeira,1132
Marian Kuprat,1133
Mariana Aydar,1134
Mariana Lucía,1135
Maricenne Costa,1136
Mariene De Castro,1137
Marina De La Riva,1138
Marina Lima,1139
Marina Peralta,1140
Marinalva,1141
Marines,1142
Marinês E Sua Gente,1143
Mario Reis,1144
Marisa Monte,1145
Mark Exodus,1146
Mark M. Dawson,1147
Maroon Commandos,1148
Mart'nália,1149
Martinha,1150
Martinho Da Vila,1151
Marysa,1152
Mascarenhas,1153
Maskavo,1154
Mastruz Com Leite,1155
Matacos,1156
Matias Damásio,1157
Mato Seco,1158
MatoZoo,1159
Mauricio Reis,1160
Maurício Carrilho,1161
Maya Cool,1162
Mbilia Bel,1163
Mc Elvis,1164
Mc Roginho,1165
Meh,1166
Meirelles E Os Copa 5,1167
Meketréfe,1168
Mel Com Terra,1169
Melanie De Biasio,1170
Menina do Céu,1171
Messias Holanda,1172
Mestre Ambrósio,1173
Mestre Zinho,1174
Mestrinho,1175
Metamorfiko,1176
Mexe Ville,1177
Mgdrv,1178
Micas Cabral,1179
Micatone,1180
Michael Colquhoun,1181
Michael Houser,1182
Michael Mertens (Propaganda) & Beppe Loda (MC1),1183
Michele Andrade,1184
Mickey Wynne,1185
Miguel Luz,1186
Mika Mendes,1187
Mikas Cabral,1188
Mike El Nite,1189
Mike Marshall & Choro Famoso,1190
Miltinho Edilberto,1191
Miltinho Rodrigues,1192
Milton Banana Trio,1193
Milton Nascimento,1194
Mind da Gap,1195
Mini God KK,1196
Minivan Blues Band,1197
Minus & MrDolly,1198
Mirowsky,1199
Miúcha,1200
Mk Nocivo,1201
Moacir Santos,1202
Moacyr Franco,1203
Mojo Barrel,1204
Moleca 100 Vergonha,1205
Mombasa Roots,1206
Monarco,1207
Monkey Montage,1208
Monobloco,1209
Monster Jinx,1210
Monster Violence,1211
Moraes Moreira,1212
Morcegos Da Morte,1213
Moreira Da Silva,1214
Moser Woods,1215
Mota JR,1216
Motorzinho dos Teclados,1217
Mr. Bow,1218
Mr.Morrinson,1219
Mulheres Perdidas,1220
Mundo Livre S/A,1221
Mundo Secreto,1222
Mundo Segundo,1223
Musa do Calypso,1224
Mysterious Life,1225
Márcia Fellipe,1226
Márcio Greyck,1227
Márcio José,1228
Mônica Salmaso,1229
N-616,1230
NBC,1231
NERVE,1232
NGA,1233
NORTHERN EXPOZURE,1234
Nacho Prado Y Daniel Campos,1235
